episode_index,seed,suite,task_id,task_description,checkpoint,success,episode_length,sum_reward,max_reward,rollout_wall_s,model_inference_calls,mean_model_inference_ms,median_model_inference_ms,p95_model_inference_ms,video_path
0,1000,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/cache/huggingface/pi05_libero_base,False,520,0.0,0.0,29.403718110639602,52,193.360399786168,170.82008253782988,227.8731028083712,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_0.mp4
1,1001,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/cache/huggingface/pi05_libero_base,False,520,0.0,0.0,27.048627451993525,52,182.1772716491698,170.39042338728905,218.9454783219844,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_1.mp4
2,1002,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/cache/huggingface/pi05_libero_base,False,520,0.0,0.0,26.413781373295933,52,186.02005634994174,170.5865398980677,219.67068191152066,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_2.mp4
3,1003,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/cache/huggingface/pi05_libero_base,False,520,0.0,0.0,26.110449133906513,52,183.1684213471957,169.78847235441208,219.3803360685706,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_3.mp4
4,1004,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/cache/huggingface/pi05_libero_base,False,520,0.0,0.0,26.84737103478983,52,177.59606295014515,169.83165964484215,217.99947102554142,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_4.mp4
5,1005,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/cache/huggingface/pi05_libero_base,False,520,0.0,0.0,27.10839565983042,52,173.58011664607778,170.10049568489194,209.10335916560138,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_5.mp4
6,1006,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/cache/huggingface/pi05_libero_base,False,520,0.0,0.0,26.998957785777748,52,183.6557765222656,170.23639171384275,227.61477138847113,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_6.mp4
7,1007,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/cache/huggingface/pi05_libero_base,False,520,0.0,0.0,27.499278065748513,52,181.17546833729227,170.41689180769026,223.81492021959272,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_7.mp4
8,1008,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/cache/huggingface/pi05_libero_base,False,520,0.0,0.0,27.107475650962442,52,173.21528223916314,170.1200355309993,195.47301868442435,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_8.mp4
9,1009,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/cache/huggingface/pi05_libero_base,False,520,0.0,0.0,27.16604513209313,52,182.15474838283487,170.7908872049302,225.86780029814688,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_pretrained_baseline/videos/eval_episode_9.mp4
