episode_index,init_state_id,seed,suite,task_id,task_description,checkpoint,success,episode_length,termination_reason,failure_category,failure_description,sum_reward,max_reward,rollout_wall_s,model_inference_calls,mean_model_inference_ms,median_model_inference_ms,p95_model_inference_ms,video_path
0,30,1030,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,239,success,none,,1.0,1.0,15.488282656762749,24,176.84589770700163,160.70582531392574,206.13052861299363,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_0.mp4
1,31,1031,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,303,success,none,,1.0,1.0,16.39897096902132,31,172.1236540545379,160.4601601138711,212.6525528728962,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_1.mp4
2,32,1032,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,341,success,none,,1.0,1.0,18.35397485597059,35,172.30970984590905,159.48096523061395,212.63322392478585,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_2.mp4
3,33,1033,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,258,success,none,,1.0,1.0,14.284551327582449,26,168.2928626676305,159.90347787737846,216.11854899674654,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_3.mp4
4,34,1034,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,262,success,none,,1.0,1.0,14.239965026732534,27,171.069058123976,161.02272225543857,212.24572146311402,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_4.mp4
5,35,1035,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,240,success,none,,1.0,1.0,13.17965853214264,24,177.11413925280795,159.79288355447352,218.03324059583247,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_5.mp4
6,36,1036,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,300,success,none,,1.0,1.0,15.905878114979714,30,172.80110667149225,160.8590071555227,210.69172646384686,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_6.mp4
7,37,1037,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,268,success,none,,1.0,1.0,14.375205850228667,27,187.25730302847094,199.0405861288309,218.806679174304,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_7.mp4
8,38,1038,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,264,success,none,,1.0,1.0,14.490705619100481,27,170.73373175743552,160.29639495536685,212.5402184203267,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_8.mp4
9,39,1039,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,306,success,none,,1.0,1.0,16.5273503549397,31,168.697064066486,159.78786861523986,204.14651813916862,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/generalization/heldout_initial_states/videos/eval_episode_9.mp4
