episode_index,seed,suite,task_id,task_description,checkpoint,success,episode_length,termination_reason,failure_category,failure_description,sum_reward,max_reward,rollout_wall_s,model_inference_calls,mean_model_inference_ms,median_model_inference_ms,p95_model_inference_ms,video_path
0,1000,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,287,success,none,,1.0,1.0,17.46172474185005,29,176.10632223558838,158.89107901602983,208.53660572320223,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_0.mp4
1,1001,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,266,success,none,,1.0,1.0,13.971528795082122,27,169.96822185400458,159.82208773493767,208.17452892661095,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_1.mp4
2,1002,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,238,success,none,,1.0,1.0,12.835426495876163,24,169.61565293604508,159.3183281365782,207.56792000029236,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_2.mp4
3,1003,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,370,success,none,,1.0,1.0,18.86362025188282,37,165.9295778293666,159.33787589892745,201.31908515468234,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_3.mp4
4,1004,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,315,success,none,,1.0,1.0,16.531510616652668,32,165.68504880706314,159.57704465836287,198.35168705321848,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_4.mp4
5,1005,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,237,success,none,,1.0,1.0,12.837463241070509,24,165.29170868064588,159.09244865179062,194.317328883335,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_5.mp4
6,1006,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,270,success,none,,1.0,1.0,14.507779550272971,27,166.10192464388632,159.60375778377056,204.79627097956836,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_6.mp4
7,1007,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,239,success,none,,1.0,1.0,12.863624991849065,24,170.32934174252054,160.32287711277604,204.37954089138657,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_7.mp4
8,1008,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,270,success,none,,1.0,1.0,14.258669045753777,27,170.7838086100916,159.84839107841253,208.33969544619322,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_8.mp4
9,1009,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,227,success,none,,1.0,1.0,12.418878471013159,23,173.22660081655434,159.92471715435386,210.81575420685112,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_checkpoint_002000_30ep/videos/eval_episode_9.mp4
