episode_index,seed,suite,task_id,task_description,checkpoint,success,episode_length,sum_reward,max_reward,rollout_wall_s,model_inference_calls,mean_model_inference_ms,median_model_inference_ms,p95_model_inference_ms,video_path
0,1000,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,287,1.0,1.0,17.92283970816061,29,174.07987221818547,162.72384906187654,188.1946827284991,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_0.mp4
1,1001,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,266,1.0,1.0,14.66468826122582,27,169.4231440520121,164.30165292695165,212.55631456151605,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_1.mp4
2,1002,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,238,1.0,1.0,13.053158498834819,24,169.45671439558888,162.02335362322628,212.71971073001623,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_2.mp4
3,1003,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,370,1.0,1.0,19.828789587132633,37,166.78823609962254,162.61978913098574,199.45949260145426,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_3.mp4
4,1004,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,315,1.0,1.0,17.418401231057942,32,165.05352029344067,162.60814969427884,180.11619781609622,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_4.mp4
5,1005,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,237,1.0,1.0,13.316086864098907,24,171.71633845039955,162.49068384058774,210.97696397919208,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_5.mp4
6,1006,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,270,1.0,1.0,14.967484930995852,27,166.34893438054456,163.04772021248937,194.1990064457059,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_6.mp4
7,1007,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,239,1.0,1.0,13.202673898078501,24,166.16634566647312,163.33216009661555,188.96755380555982,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_7.mp4
8,1008,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,270,1.0,1.0,14.756747272331268,27,172.65972872782083,162.43896400555968,212.30482775717974,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_8.mp4
9,1009,libero_10,0,put both the alphabet soup and the tomato sauce in the basket,/root/autodl-tmp/VLA-Intern-Sprint/results/training/pi05_expert_first_stage_2k/run/checkpoints/002000/pretrained_model,True,227,1.0,1.0,12.853710114955902,23,169.50440987863618,163.01134368404746,212.74458821862933,/root/autodl-tmp/VLA-Intern-Sprint/results/evaluation/pi05_expert_first_stage_2k/videos/eval_episode_9.mp4
